"fecha_inicio_sintomas","Departamento","frecuencia","media_movil_7d"
2020-03-18,"Cundinamarca",6,10.2857142857143
2020-03-18,"Huila",4,3.28571428571429
2020-03-18,"Magdalena",2,2.57142857142857
2020-03-18,"Nariño",1,2.42857142857143
2020-03-18,"Norte de Santander",2,2.57142857142857
2020-03-18,"Quindio",5,3
2020-03-18,"Risaralda",6,3.71428571428571
2020-03-18,"Tolima",2,3.14285714285714
2020-03-18,"Valle del Cauca",22,5.71428571428571
2020-03-19,"Antioquia",13,7.28571428571429
2020-03-19,"Atlántico",4,7.71428571428571
2020-03-19,"Bogotá, D.C.",87,19.8571428571429
2020-03-19,"Bolívar",5,19.8571428571429
2020-03-19,"Casanare",1,19.1428571428571
2020-03-19,"Cesar",1,19
2020-03-19,"Cundinamarca",5,16.5714285714286
2020-03-19,"Córdoba",1,14.8571428571429
2020-03-19,"Huila",6,15.1428571428571
2020-03-19,"Magdalena",1,2.85714285714286
2020-03-19,"Meta",2,2.42857142857143
2020-03-19,"Nariño",2,2.57142857142857
2020-03-19,"Norte de Santander",3,2.85714285714286
2020-03-19,"Risaralda",7,3.14285714285714
2020-03-19,"Valle del Cauca",22,6.14285714285714
2020-03-20,"Antioquia",13,7.14285714285714
2020-03-20,"Atlántico",7,8
2020-03-20,"Bogotá, D.C.",87,20.1428571428571
2020-03-20,"Bolívar",10,21.2857142857143
2020-03-20,"Casanare",1,21
2020-03-20,"Cauca",2,20.2857142857143
2020-03-20,"Cesar",3,17.5714285714286
2020-03-20,"Cundinamarca",7,16.7142857142857
2020-03-20,"Córdoba",1,15.8571428571429
2020-03-20,"Huila",4,4
2020-03-20,"Magdalena",1,2.71428571428571
2020-03-20,"Meta",1,2.71428571428571
2020-03-20,"Nariño",3,2.85714285714286
2020-03-20,"Norte de Santander",5,3.14285714285714
2020-03-20,"Quindio",5,2.85714285714286
2020-03-20,"Risaralda",2,3
2020-03-20,"Santander",1,2.57142857142857
2020-03-20,"Sucre",1,2.57142857142857
2020-03-20,"Tolima",4,3
2020-03-20,"Valle del Cauca",38,8
