"nombre_departamento","grupo_edad","casos"
"caldas",26,4
"caldas",27,4
"caldas",28,5
"caldas",29,10
"caldas",30,6
"caldas",31,7
"caldas",32,6
"caldas",33,11
"caldas",34,7
"caldas",35,10
"caldas",36,10
"caldas",37,10
"caldas",38,13
"caldas",39,10
"caldas",40,11
"caldas",41,17
"caldas",42,12
"caldas",43,13
"caldas",44,13
"caldas",45,19
"caldas",46,15
"caldas",47,21
"caldas",48,15
"caldas",49,25
"caldas",50,20
"caldas",51,22
"caldas",52,17
"caldas",53,32
"caldas",54,31
"caldas",55,30
"caldas",56,30
"caldas",57,38
"caldas",58,40
"caldas",59,45
"caldas",60,58
"caldas",61,52
"caldas",62,55
"caldas",63,40
"caldas",64,47
"caldas",65,55
"caldas",66,61
"caldas",67,62
"caldas",68,53
"caldas",69,81
"caldas",70,70
"caldas",71,63
"caldas",72,73
"caldas",73,57
"caldas",74,67
"caldas",75,59
"caldas",76,61
"caldas",77,73
"caldas",78,76
"caldas",79,77
"caldas",80,72
"caldas",81,68
"caldas",82,46
"caldas",83,62
"caldas",84,499
"caqueta",0,2
"caqueta",11,1
"caqueta",16,1
"caqueta",17,1
"caqueta",19,1
"caqueta",24,1
"caqueta",26,1
"caqueta",27,2
"caqueta",28,1
"caqueta",29,4
"caqueta",30,1
"caqueta",31,1
"caqueta",32,3
"caqueta",33,4
"caqueta",34,3
"caqueta",35,5
"caqueta",36,6
"caqueta",37,4
"caqueta",38,8
"caqueta",39,8
"caqueta",40,9
"caqueta",41,4
"caqueta",42,4
"caqueta",43,10
"caqueta",44,4
"caqueta",45,5
"caqueta",46,8
"caqueta",47,8
"caqueta",48,8
"caqueta",49,6
"caqueta",50,13
"caqueta",51,5
"caqueta",52,12
"caqueta",53,10
"caqueta",54,16
"caqueta",55,21
"caqueta",56,20
"caqueta",57,20
"caqueta",58,21
"caqueta",59,24
"caqueta",60,30
"caqueta",61,24
"caqueta",62,14
"caqueta",63,16
"caqueta",64,28
"caqueta",65,26
"caqueta",66,31
"caqueta",67,23
"caqueta",68,28
"caqueta",69,33
"caqueta",70,29
"caqueta",71,21
"caqueta",72,29
"caqueta",73,28
"caqueta",74,26
"caqueta",75,27
"caqueta",76,20
"caqueta",77,31
"caqueta",78,26
"caqueta",79,31
"caqueta",80,20
"caqueta",81,34
"caqueta",82,26
"caqueta",83,25
"caqueta",84,137
"bolivar",0,2
"bolivar",1,1
"bolivar",5,2
"bolivar",8,1
"bolivar",9,1
"bolivar",13,1
"bolivar",14,1
"bolivar",20,1
"bolivar",21,5
"bolivar",22,1
"bolivar",23,3
"bolivar",25,4
"bolivar",26,1
"bolivar",27,3
"bolivar",28,3
"bolivar",29,10
"bolivar",30,12
"bolivar",31,4
"bolivar",33,3
"bolivar",34,10
"bolivar",35,16
"bolivar",36,9
"bolivar",37,8
"bolivar",38,10
"bolivar",39,7
"bolivar",40,15
"bolivar",41,13
"bolivar",42,31
"bolivar",43,18
"bolivar",44,19
"bolivar",45,18
"bolivar",46,22
"bolivar",47,18
