Departamentos,SEXO,gredad,6 Mar.2020 - 5 Mar. 2021,6 Mar.2021 - 5 Mar. 2022
Caq.,Hombres,De 65 y más años,0.5696357699193674,0.5250480012923796
Caq.,Mujeres,Menores de 15 años,-0.584546179019484,-0.6057198199300038
 ,Mujeres,De 15 a 44 años,-0.25246706388402296,-0.09535358170623152
 ,Mujeres,De 45 a 64 años,0.5565692803534407,0.5883361353008525
Caq.,Mujeres,De 65 y más años,0.9146773664175251,0.7823618791391647
 ,Hombres,Menores de 15 años,-0.3730677134255318,-0.2346212208453609
 ,Hombres,De 15 a 44 años,0.24808128811332758,0.54691831809053
 ,Hombres,De 45 a 64 años,0.3702034996454514,0.8963821346440412
 ,Hombres,De 65 y más años,0.28841600582522203,0.5573128490184153
 ,Mujeres,Menores de 15 años,-0.15814253790594268,-0.12696769911163477
 ,Mujeres,De 15 a 44 años,-0.4030480032511285,0.1423924477155393
